id_icpe,nom_original,structure,etablissement,nom_complet,code_insee_commune,nom_commune,epci_siren,epci_nom,coordonnees_lat_lon,geometrie_geojson,id_ligne_export,siret,regime_icpe,categorie_seveso,priorite_nationale,url_fiche_georisques,elevage_bovins,elevage_porcs,elevage_volailles,activite_carriere,activite_eolienne,activite_industrielle,directive_ied,code_naf_division,date_enregistrement,annee_enregistrement
5206006,SEMA,SEMA,,SEMA,33009,Arcachon,243300563,CA Bassin d'Arcachon Sud (COBAS),"44.6488899, -1.1905829","{""coordinates"": [-1.1905829, 44.6488899], ""type"": ""Point""}",1025,35180609600019,ENREGISTREMENT,NON_SEVESO,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005206006,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,11,2025-02-10T00:00:00+01:00,2025
5206063,CAVES DE RAUZAN,CAVES DE RAUZAN,Rauzan,CAVES DE RAUZAN — Rauzan,33350,Rauzan,243301454,CC Castillon/Pujols,"44.7793089, -0.1162129","{""coordinates"": [-0.1162129, 44.7793089], ""type"": ""Point""}",1030,78197355700015,ENREGISTREMENT,NON_SEVESO,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005206063,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,11,2025-02-10T00:00:00+01:00,2025
5201202,CARROSSERIE LE GRAAL,CARROSSERIE LE GRAAL,,CARROSSERIE LE GRAAL,33433,Saint-Loubès,243301249,CC Les Rives de la Laurence,"44.9171619, -0.42898","{""coordinates"": [-0.42898, 44.9171619], ""type"": ""Point""}",790,,AUTRE,,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005201202,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,2025-02-10T00:00:00+01:00,2025
5201354,CAPY EDMOND,CAPY EDMOND,,CAPY EDMOND,33529,La Teste-de-Buch,243300563,CA Bassin d'Arcachon Sud (COBAS),"44.6042469, -1.124939","{""coordinates"": [-1.124939, 44.6042469], ""type"": ""Point""}",856,32103551100021,ENREGISTREMENT,NON_SEVESO,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005201354,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,38,2025-02-10T00:00:00+01:00,2025
5201359,GILLET ALAIN,GILLET ALAIN,,GILLET ALAIN,33535,Tresses,243301355,CC les Coteaux Bordelais,"44.8509279, -0.457886","{""coordinates"": [-0.457886, 44.8509279], ""type"": ""Point""}",859,30461895200010,ENREGISTREMENT,NON_SEVESO,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005201359,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,70,2025-02-10T00:00:00+01:00,2025
5201361,CHEMET-GLI,CHEMET-GLI,,CHEMET-GLI,33533,Toulenne,200043974,CC du Sud Gironde,"44.5610589, -0.257501","{""coordinates"": [-0.257501, 44.5610589], ""type"": ""Point""}",860,88107401700131,AUTRE,,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005201361,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,25,2025-02-10T00:00:00+01:00,2025
5201366,SAPAMO,SAPAMO,,SAPAMO,33535,Tresses,243301355,CC les Coteaux Bordelais,"44.8486419, -0.46038","{""coordinates"": [-0.46038, 44.8486419], ""type"": ""Point""}",863,33872767000014,ENREGISTREMENT,NON_SEVESO,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005201366,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,37,2025-02-10T00:00:00+01:00,2025
5201370,FRONERI Vayres (ex R&R ICE CREAM),FRONERI Vayres (ex R&R ICE CREAM),,FRONERI Vayres (ex R&R ICE CREAM),33539,Vayres,200070092,CA du Libournais,"44.9071639, -0.3373949","{""coordinates"": [-0.3373949, 44.9071639], ""type"": ""Point""}",864,41147368900015,AUTORISATION,NON_SEVESO,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005201370,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,10,2026-03-27T00:00:00+01:00,2026
5201375,O-I France SAS,O-I France SAS,,O-I France SAS,33539,Vayres,200070092,CA du Libournais,"44.9068999, -0.3452789","{""coordinates"": [-0.3452789, 44.9068999], ""type"": ""Point""}",867,33903070200130,AUTORISATION,NON_SEVESO,TRUE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005201375,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,23,2026-02-26T00:00:00+01:00,2026
5201401,GAZECHIM SA,GAZECHIM SA,,GAZECHIM SA,33550,Villenave-d'Ornon,243300316,Bordeaux Métropole,"44.7734829, -0.5461629","{""coordinates"": [-0.5461629, 44.7734829], ""type"": ""Point""}",874,54292008700062,AUTORISATION,SEUIL_BAS,TRUE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005201401,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,20,2025-06-22T00:00:00+02:00,2025
5201402,HEIDELBERG MATERIALS FRANCE GRANULATS (ex GSM),HEIDELBERG MATERIALS FRANCE GRANULATS (ex GSM),VILLENAVE D ORNON,HEIDELBERG MATERIALS FRANCE GRANULATS (ex GSM) — VILLENAVE D ORNON,33550,Villenave-d'Ornon,243300316,Bordeaux Métropole,"44.7820449, -0.575871","{""coordinates"": [-0.575871, 44.7820449], ""type"": ""Point""}",875,57216565201765,ENREGISTREMENT,NON_SEVESO,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005201402,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,8,2025-12-09T00:00:00+01:00,2025
5201404,DISTILLERIES VINICOLES DU  BLAYAIS,DISTILLERIES VINICOLES DU  BLAYAIS,,DISTILLERIES VINICOLES DU  BLAYAIS,33551,Villeneuve,200023794,CC de Blaye,"45.0790349, -0.6346099","{""coordinates"": [-0.6346099, 45.0790349], ""type"": ""Point""}",877,58702006600011,AUTORISATION,NON_SEVESO,TRUE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005201404,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,11,2025-10-15T00:00:00+02:00,2025
5201405,SEMOCTOM (ex CDC Convergence Garonne),SEMOCTOM (ex CDC Convergence Garonne),,SEMOCTOM (ex CDC Convergence Garonne),33552,Virelade,200069581,CC Convergence Garonne,"44.6629539, -0.38945","{""coordinates"": [-0.38945, 44.6629539], ""type"": ""Point""}",878,25330054500030,ENREGISTREMENT,NON_SEVESO,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005201405,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,38,2025-10-16T00:00:00+02:00,2025
5203502,GRELIER  SARL,GRELIER  SARL,,GRELIER  SARL,33047,Berson,200023794,CC de Blaye,"45.1020159, -0.579038","{""coordinates"": [-0.579038, 45.1020159], ""type"": ""Point""}",882,38441797800010,AUTORISATION,NON_SEVESO,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005203502,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,43,2025-02-10T00:00:00+01:00,2025
